time	param	target
616838400	8586000	6
617337088	516000	0
617947904	5846000	4
618530048	517000	0
618822912	8587000	6
619663616	518000	0
619702784	5847000	4
620687616	8588000	6
620809216	519000	0
621463808	5848000	4
621933056	520000	0
622593536	8589000	6
623108096	521000	0
623235328	5849000	4
624276224	522000	0
624477184	8590000	6
624994816	5850000	4
625411584	523000	0
626295808	8591000	6
626585344	524000	0
626760192	5851000	4
627703296	525000	0
628147968	8592000	6
628527104	5852000	4
628846848	526000	0
629901568	9634000	7
629967872	527000	0
630006272	8593000	6
630283008	5853000	4
631109632	528000	0
631771392	8594000	6
631909120	2753000	2
631934976	9635000	7
632044800	5854000	4
632237824	529000	0
633361408	530000	0
633554432	8595000	6
633807616	5855000	4
633822976	2754000	2
633844224	9636000	7
634504448	531000	0
635325952	8596000	6
635561472	5856000	4
635676928	2755000	2
635677440	532000	0
635782912	9637000	7
636688384	1377000	1
636835072	533000	0
637091584	8597000	6
637323776	5857000	4
637511936	2756000	2
637739520	9638000	7
637961216	534000	0
638496512	1378000	1
638866688	8598000	6
639088640	535000	0
639089408	5858000	4
639364608	2757000	2
639660544	9639000	7
640209664	536000	0
640391424	1379000	1
640685312	8599000	6
640888320	5859000	4
641211904	2758000	2
641372160	537000	0
641557248	9640000	7
642256384	1380000	1
642465280	8600000	6
642497536	538000	0
642656256	5860000	4
643056128	2759000	2
643519488	9641000	7
643646976	539000	0
644178432	1381000	1
644297472	8601000	6
644497664	5861000	4
644802048	540000	0
644958208	2760000	2
645509632	9642000	7
645943552	541000	0
646043904	1382000	1
646150912	8602000	6
646303232	5862000	4
646851328	2761000	2
647118592	542000	0
647485440	9643000	7
647889152	1383000	1
648014592	8603000	6
648082688	5863000	4
648259840	543000	0
648737024	2762000	2
649397760	544000	0
649439232	9644000	7
649760512	1384000	1
649882112	5864000	4
649984256	8604000	6
650544896	545000	0
650689024	2763000	2
651363840	9645000	7
651665920	546000	0
651667200	1385000	1
651667200	5865000	4
651856128	8605000	6
652535808	2764000	2
652793600	547000	0
653265408	9646000	7
653440256	5866000	4
653454848	1386000	1
653693952	8606000	6
653918208	548000	0
654382848	2765000	2
655053312	549000	0
655168512	9647000	7
655201280	5867000	4
655247104	1387000	1
655503360	8607000	6
656184576	550000	0
656231168	2766000	2
656958720	5868000	4
657048320	1388000	1
657147904	9648000	7
657298944	8608000	6
657342720	551000	0
657600000	6882000	5
658081792	2767000	2
658471680	552000	0
658729728	5869000	4
658916864	1389000	1
659089152	9649000	7
659147264	8609000	6
659467776	6883000	5
659617792	553000	0
659957504	2768000	2
660510720	5870000	4
660789504	554000	0
660829696	1390000	1
661066496	8610000	6
661161216	9650000	7
661314560	6884000	5
661805824	2769000	2
661904896	555000	0
662269440	5871000	4
662662656	4129000	3
662693888	1391000	1
662930944	8611000	6
663065344	556000	0
663148032	6885000	5
663267072	9651000	7
663651840	2770000	2
664027904	5872000	4
664197632	557000	0
664591616	1392000	1
664637440	4130000	3
664777472	8612000	6
664985856	6886000	5
665256192	9652000	7
665374208	558000	0
665491200	2771000	2
665843968	5873000	4
666494208	1393000	1
666501632	559000	0
666523136	4131000	3
666612992	8613000	6
666820864	6887000	5
667300096	9653000	7
667343616	2772000	2
667623680	5874000	4
667665664	560000	0
668385792	1394000	1
668407808	4132000	3
668497152	8614000	6
668650496	6888000	5
668803072	561000	0
669196032	2773000	2
669339392	9654000	7
669413120	5875000	4
669969152	562000	0
670241792	1395000	1
670320896	4133000	3
670398976	8615000	6
670482944	6889000	5
671099392	563000	0
671107072	2774000	2
671179520	5876000	4
671319808	9655000	7
672110336	1396000	1
672166656	4134000	3
672232960	564000	0
672248832	8616000	6
672302592	6890000	5
672972800	5877000	4
673028864	2775000	2
673323008	9656000	7
673408256	565000	0
673990656	1397000	1
674009856	4135000	3
674131968	6891000	5
674163968	8617000	6
674537216	566000	0
674799872	5878000	4
674917888	2776000	2
675383040	9657000	7
675728640	567000	0
675842048	4136000	3
675900160	1398000	1
675961856	6892000	5
676044800	8618000	6
676578816	5879000	4
676783872	2777000	2
676850176	568000	0
677405696	9658000	7
677693952	4137000	3
677796096	6893000	5
677809152	1399000	1
677893376	8619000	6
678021376	569000	0
678365696	5880000	4
678654464	2778000	2
679178240	570000	0
679403008	9659000	7
679581952	4138000	3
679656448	6894000	5
679680256	1400000	1
679804672	8620000	6
680146432	5881000	4
680350464	571000	0
680536064	2779000	2
681389568	4139000	3
681390080	9660000	7
681498112	6895000	5
681537024	572000	0
681561856	1401000	1
681643776	8621000	6
681944320	5882000	4
682434048	2780000	2
682681600	573000	0
683232000	4140000	3
683376128	9661000	7
683516416	8622000	6
683531264	1402000	1
683718912	5883000	4
683798016	574000	0
684415488	2781000	2
684966912	575000	0
685058048	4141000	3
685326336	8623000	6
685353216	9662000	7
685511424	5884000	4
686117888	576000	0
686281728	2782000	2
686870784	6896000	5
686906880	4142000	3
687172352	8624000	6
687253504	577000	0
687286528	5885000	4
687340032	9663000	7
688133632	2783000	2
688385024	578000	0
688733440	4143000	3
688734720	6897000	5
688947456	8625000	6
689029376	1403000	1
689053184	5886000	4
689250560	9664000	7
689512704	579000	0
689981440	2784000	2
690531840	4144000	3
690555904	6898000	5
690640384	580000	0
690713344	8626000	6
690861312	5887000	4
690898688	1404000	1
